doc_title,source_url,jurisdiction,doc_date,doc_summary,tag1,tag2,tag3
IS - AP 325 Formal Complaints and Appeals.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1136,School District 68,,Index record for sd68 escribe document identifier 1136,escribe,sd68-archive,public-registry
OceanEXP Education.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1137,School District 68,,Index record for sd68 escribe document identifier 1137,escribe,sd68-archive,public-registry
Staff Report - 2019-20 Annual Budget Criteria and Strategies.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1138,School District 68,,Index record for sd68 escribe document identifier 1138,escribe,sd68-archive,public-registry
Staff Report - Preliminary 2019-20 Annual Budget.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1139,School District 68,,Index record for sd68 escribe document identifier 1139,escribe,sd68-archive,public-registry
What is Inclusion.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1140,School District 68,,Index record for sd68 escribe document identifier 1140,escribe,sd68-archive,public-registry
NLPS Logo.png,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1141,School District 68,,Index record for sd68 escribe document identifier 1141,escribe,sd68-archive,public-registry
Agenda Package - EC_May01_2019 - English.Html,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1142,School District 68,,Index record for sd68 escribe document identifier 1142,escribe,sd68-archive,public-registry
Agenda.Css,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1143,School District 68,,Index record for sd68 escribe document identifier 1143,escribe,sd68-archive,public-registry
Agenda Package - EC_May01_2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1144,School District 68,,Index record for sd68 escribe document identifier 1144,escribe,sd68-archive,public-registry
Agenda Package - BCM_May08_2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1150,School District 68,,Index record for sd68 escribe document identifier 1150,escribe,sd68-archive,public-registry
Agenda Package - BCM_May08_2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1157,School District 68,,Index record for sd68 escribe document identifier 1157,escribe,sd68-archive,public-registry
Agenda Package - BCM_May08_2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1164,School District 68,,Index record for sd68 escribe document identifier 1164,escribe,sd68-archive,public-registry
Agenda Package - BCM_May08_2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1171,School District 68,,Index record for sd68 escribe document identifier 1171,escribe,sd68-archive,public-registry
2019-20 Annual Budget Report.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1172,School District 68,,Index record for sd68 escribe document identifier 1172,escribe,sd68-archive,public-registry
AS - Community Service Delivery Model.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1173,School District 68,,Index record for sd68 escribe document identifier 1173,escribe,sd68-archive,public-registry
April 10 2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1174,School District 68,,Index record for sd68 escribe document identifier 1174,escribe,sd68-archive,public-registry
NLPS Logo.png,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1175,School District 68,,Index record for sd68 escribe document identifier 1175,escribe,sd68-archive,public-registry
Agenda Package - BCM_May08_2019 - English.Html,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1176,School District 68,,Index record for sd68 escribe document identifier 1176,escribe,sd68-archive,public-registry
Agenda.Css,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1177,School District 68,,Index record for sd68 escribe document identifier 1177,escribe,sd68-archive,public-registry
Agenda Package - BCM_May08_2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1178,School District 68,,Index record for sd68 escribe document identifier 1178,escribe,sd68-archive,public-registry
07 - Mar 6 2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1179,School District 68,,Index record for sd68 escribe document identifier 1179,escribe,sd68-archive,public-registry
AS - Capital Plan Bylaw No. 2019 2020-CPSD68-01.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1180,School District 68,,Index record for sd68 escribe document identifier 1180,escribe,sd68-archive,public-registry
CUPE Budget Presentation 2019-2020.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1181,School District 68,,Index record for sd68 escribe document identifier 1181,escribe,sd68-archive,public-registry
Superintendent District Review Story April 10 2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1182,School District 68,,Index record for sd68 escribe document identifier 1182,escribe,sd68-archive,public-registry
1 Department of Learning Services Presentation.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1183,School District 68,,Index record for sd68 escribe document identifier 1183,escribe,sd68-archive,public-registry
NLPS Logo.png,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1184,School District 68,,Index record for sd68 escribe document identifier 1184,escribe,sd68-archive,public-registry
