doc_title,source_url,jurisdiction,doc_date,doc_summary,tag1,tag2,tag3
2011 06 20 Gsc Regular Agenda Full Pkg,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2011-06-20-gsc-regular-agenda-full-pkg.pdf,Town of Ladysmith,2011-06-20,,agenda-pkg,government-services-committee,
2011 07 18 Gsc Regular Agenda Full Pkg,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2011-07-18-gsc-regular-agenda-full-pkg.pdf,Town of Ladysmith,2011-07-18,,agenda-pkg,government-services-committee,
2011 08 15 Gsc Regular Agenda Full Pkg Reduced,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2011-08-15-gsc-regular-agenda-full-pkg-reduced.pdf,Town of Ladysmith,2011-08-15,,agenda-pkg,government-services-committee,
2011 09 19 Gsc Reg Agenda Full Pkg,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2011-09-19-gsc-reg-agenda-full-pkg.pdf,Town of Ladysmith,2011-09-19,,agenda-pkg,government-services-committee,
2011 10 04 Gsc Special Agenda Full Pkg,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2011-10-04-gsc-special-agenda-full-pkg.pdf,Town of Ladysmith,2011-10-04,,agenda-pkg,government-services-committee,
2011 10 17 Gsc Regular Agenda Full Pkg,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2011-10-17-gsc-regular-agenda-full-pkg.pdf,Town of Ladysmith,2011-10-17,,agenda-pkg,government-services-committee,
2011 11 21 Government Services Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2011-11-21-government-services-agenda.pdf,Town of Ladysmith,2011-11-21,,agenda-pkg,government-services-committee,
2011 12 19 Government Services Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2011-12-19-government-services-agenda.pdf,Town of Ladysmith,2011-12-19,,agenda-pkg,government-services-committee,
2012 01 16 Government Services Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2012-01-16-government-services-agenda.pdf,Town of Ladysmith,2012-01-16,,agenda-pkg,government-services-committee,
2012 02 20 Government Services Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2012-02-20-government-services-agenda.pdf,Town of Ladysmith,2012-02-20,,agenda-pkg,government-services-committee,
2012 03 19 Government Services Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2012-03-19-government-services-agenda.pdf,Town of Ladysmith,2012-03-19,,agenda-pkg,government-services-committee,
2012 04 16 Government Services Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2012-04-16-government-services-agenda.pdf,Town of Ladysmith,2012-04-16,,agenda-pkg,government-services-committee,
