doc_title,source_url,jurisdiction,doc_date,doc_summary,tag1,tag2,tag3
StzFN Mar 25 FS 350710,https://www.stzuminus.com/wp-content/uploads/2025/09/StzFN-Mar-25-FS-350710.pdf,Stz'uminus First Nation,"2025, Sep",Historical public archive document entry for: StzFN Mar 25 FS 350710,stzuminus,first-nation,public-record
StzFN Mar 25 Schedules Of Elected Officials 350710,https://www.stzuminus.com/wp-content/uploads/2025/09/StzFN-Mar-25-Schedules-of-Elected-Officials-350710.pdf,Stz'uminus First Nation,"2025, Sep",Historical public archive document entry for: StzFN Mar 25 Schedules Of Elected Officials 350710,stzuminus,first-nation,financial
Sept 2025 Online,https://www.stzuminus.com/wp-content/uploads/2025/09/sept-2025-online.pdf,Stz'uminus First Nation,"2025, Sep",Historical public archive document entry for: Sept 2025 Online,stzuminus,first-nation,public-record
October 2025 Online,https://www.stzuminus.com/wp-content/uploads/2025/10/October-2025-online.pdf,Stz'uminus First Nation,"2025, Oct",Historical public archive document entry for: October 2025 Online,stzuminus,first-nation,public-record
Nov 2025 Online,https://www.stzuminus.com/wp-content/uploads/2025/10/nov-2025-online.pdf,Stz'uminus First Nation,"2025, Oct",Historical public archive document entry for: Nov 2025 Online,stzuminus,first-nation,public-record
Dec 2025 Online,https://www.stzuminus.com/wp-content/uploads/2025/11/dec-2025-online.pdf,Stz'uminus First Nation,"2025, Nov",Historical public archive document entry for: Dec 2025 Online,stzuminus,first-nation,public-record
Jan 2026 Online,https://www.stzuminus.com/wp-content/uploads/2026/01/Jan-2026-online.pdf,Stz'uminus First Nation,"2026, Jan",Historical public archive document entry for: Jan 2026 Online,stzuminus,first-nation,public-record
April 2026 Online,https://www.stzuminus.com/wp-content/uploads/2026/03/April-2026-online.pdf,Stz'uminus First Nation,"2026, Mar",Historical public archive document entry for: April 2026 Online,stzuminus,first-nation,public-record
Job Ad Community Support Worker Casual,https://www.stzuminus.com/wp-content/uploads/2026/03/Job-Ad-Community-Support-Worker-Casual.pdf,Stz'uminus First Nation,"2026, Mar",Historical public archive document entry for: Job Ad Community Support Worker Casual,stzuminus,first-nation,job-notice
March 2026 Online,https://www.stzuminus.com/wp-content/uploads/2026/03/March-2026-online.pdf,Stz'uminus First Nation,"2026, Mar",Historical public archive document entry for: March 2026 Online,stzuminus,first-nation,public-record
NOTICE OF POLL 1,https://www.stzuminus.com/wp-content/uploads/2026/03/NOTICE-OF-POLL-1.pdf,Stz'uminus First Nation,"2026, Mar",Historical public archive document entry for: NOTICE OF POLL 1,stzuminus,first-nation,elections
Job Ad Director Of Administration,https://www.stzuminus.com/wp-content/uploads/2026/04/Job-Ad-Director-of-Administration.pdf,Stz'uminus First Nation,"2026, Apr",Historical public archive document entry for: Job Ad Director Of Administration,stzuminus,first-nation,job-notice
May 2026 Online,https://www.stzuminus.com/wp-content/uploads/2026/04/may-2026-online.pdf,Stz'uminus First Nation,"2026, Apr",Historical public archive document entry for: May 2026 Online,stzuminus,first-nation,job-notice
Job Ad CaSJ Admin Assistant 1,https://www.stzuminus.com/wp-content/uploads/2026/05/Job-Ad-CaSJ-Admin-Assistant-1.pdf,Stz'uminus First Nation,"2026, May",Historical public archive document entry for: Job Ad CaSJ Admin Assistant 1,stzuminus,first-nation,job-notice
Job Ad CaSJ Community Support Worker 1,https://www.stzuminus.com/wp-content/uploads/2026/05/Job-Ad-CaSJ-Community-Support-Worker-1.pdf,Stz'uminus First Nation,"2026, May",Historical public archive document entry for: Job Ad CaSJ Community Support Worker 1,stzuminus,first-nation,job-notice
Job Ad CaSJ Land Use Assistant 2,https://www.stzuminus.com/wp-content/uploads/2026/05/Job-Ad-CaSJ-Land-Use-Assistant-2.pdf,Stz'uminus First Nation,"2026, May",Historical public archive document entry for: Job Ad CaSJ Land Use Assistant 2,stzuminus,first-nation,job-notice
Job Ad CaSJ Public Works Laborer,https://www.stzuminus.com/wp-content/uploads/2026/05/Job-Ad-CaSJ-Public-Works-Laborer.pdf,Stz'uminus First Nation,"2026, May",Historical public archive document entry for: Job Ad CaSJ Public Works Laborer,stzuminus,first-nation,job-notice
June 2026 Online,https://www.stzuminus.com/wp-content/uploads/2026/05/june-2026-online.pdf,Stz'uminus First Nation,"2026, May",Historical public archive document entry for: June 2026 Online,stzuminus,first-nation,public-record
